UNITID,Year,INSTNM,State,Total_Students,Known_Students,Unknown_Students,In_State_Students,Out_State_Students,Foreign_Students,US_Students,Avg_Cost,Median_HH_Income
484756,2019,University of Phoenix-Texas,TX,2,2,0,2,0,0,2,16367,64276.692131199976
484756,2020,University of Phoenix-Texas,TX,4,4,0,4,0,0,4,16367,64276.692131199976
433387,2018,Western Governors University,UT,206,206,0,19,187,0,206,13790,62039.21
433387,2019,Western Governors University,UT,28,28,0,2,26,0,28,13790,62039.21
433387,2020,Western Governors University,UT,100,100,0,8,91,1,99,13790,62039.21
238263,2016,Madison Area Technical College,WI,1765,1741,24,1715,25,1,1740,14210,64533.76
238263,2017,Madison Area Technical College,WI,1687,1654,33,1615,39,0,1654,14210,64533.76
238263,2018,Madison Area Technical College,WI,1608,1559,49,1526,33,0,1559,14210,64533.76
238263,2019,Madison Area Technical College,WI,1760,1727,33,1699,28,0,1727,14210,64533.76
238263,2020,Madison Area Technical College,WI,1430,1425,5,1399,26,0,1425,14210,64533.76
237330,2016,Concord University,WV,471,459,12,393,66,0,459,16824,41360.98
237330,2017,Concord University,WV,434,434,0,318,97,19,415,16824,41360.98
237330,2018,Concord University,WV,430,430,0,308,101,21,409,16824,41360.98
237330,2019,Concord University,WV,372,372,0,292,64,16,356,16824,41360.98
237330,2020,Concord University,WV,383,383,0,305,75,3,380,16824,41360.98
